Source,Target,Type,Pattern
scripts/deploy-gpu-sidecars.ps1,scripts/test-gpu-sidecars.ps1,script-exec,489
scripts/deploy-nightly-automation.ps1,scripts/generate-dashboard-snapshots.ps1,script-exec,119
scripts/deploy-nightly-automation.ps1,scripts/setup-github-repo-security.ps1,script-exec,252
scripts/deploy-nightly-automation.ps1,scripts/setup-github-secrets.ps1,script-exec,409
scripts/deploy-windows-canary-alert-session.ps1,scripts\deploy-windows-canary-alert-session.ps1,script-exec,28
scripts/deploy-windows-canary-alert-session.ps1,scripts\deploy-windows-canary-alert-session.ps1,script-exec,34
scripts/diagnostic-shell-enhanced.ps1,$PSScriptRoot/verify-wiring.ps1,script-exec,162
scripts/diagnostic-shell-enhanced.ps1,$PSScriptRoot/enterprise-readiness-check.ps1,script-exec,192
scripts/direct-production-monitor.ps1,scripts/monitor-ssot-health.ps1,script-exec,35
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,71
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,82
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,106
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,126
scripts/ecrr-doctor.ps1,scripts/ecrr-doctor.ps1,script-exec,5
scripts/ecrr-doctor.ps1,scripts/canary-test.ps1,script-exec,127
scripts/ecrr-process-and-publish.ps1,scripts/ecrr-processing-summary.ps1,script-exec,24
scripts/ecrr-process-and-publish.ps1,scripts/monitor-ecrr-compliance.ps1,script-exec,37
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,191
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,192
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,193
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,194
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,198
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,199
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,200
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,201
scripts/ecrr-webhook-config.ps1,scripts/ecrr-webhook-config.ps1,script-exec,292
scripts/ecrr-webhook-config.ps1,scripts/ecrr-webhook-config.ps1,script-exec,301
scripts/ecrr-webhook-config.ps1,scripts/ecrr-webhook-config.ps1,script-exec,310
scripts/ecrr-webhook-config.ps1,scripts/ecrr-webhook-config.ps1,script-exec,392
scripts/ecrr-weekly-monitor.ps1,scripts/ecrr-compliance-monitor.ps1,script-exec,56
scripts/ecrr/collect-evidence.ps1,scripts/ecrr/collect-evidence.ps1,script-exec,70
scripts/enable-full-automation.ps1,.\canary-test.ps1,script-exec,37
scripts/enforce-4-section-structure.ps1,$PSScriptRoot/enforce-four-section-structure.ps1,script-exec,2
scripts/enhanced-analytics-monitor.ps1,scripts/enhanced-analytics-monitor.ps1,script-exec,3
scripts/enhanced-analytics-monitor.ps1,scripts/optimize-end-to-end-pipeline.ps1,script-exec,433
scripts/final-deployment-checklist.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,74
scripts/final-deployment-checklist.ps1,scripts/test-gpu-sidecars.ps1,script-exec,176
scripts/final-deployment-checklist.ps1,scripts/validate-production-gpu.ps1,script-exec,185
scripts/final-deployment-checklist.ps1,verify-integration.ps1,script-exec,194
scripts/final-deployment-checklist.ps1,scripts/test-gpu-sidecars.ps1,script-exec,220
scripts/final-deployment-checklist.ps1,scripts/validate-production-gpu.ps1,script-exec,221
scripts/final-deployment-checklist.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,222
scripts/final-deployment-checklist.ps1,scripts/gpu-watchdog.ps1,script-exec,223
scripts/fix-and-start.ps1,scripts/fixed-verification.ps1,script-exec,74
scripts/generate-weekly-report.ps1,scripts/generate-weekly-report.ps1,script-exec,2
scripts/gpu-automated-monitoring.ps1,`$scriptDir\gpu-workflow-orchestrator.ps1,script-exec,53
scripts/gpu-automated-monitoring.ps1,`$scriptDir\gpu-workflow-orchestrator.ps1,script-exec,66
scripts/gpu-automated-monitoring.ps1,`$scriptDir\gpu-workflow-orchestrator.ps1,script-exec,79
scripts/gpu-automated-monitoring.ps1,`$scriptDir\gpu-workflow-orchestrator.ps1,script-exec,92
scripts/gpu-automated-monitoring.ps1,scripts/import-dashboard.ps1,script-exec,404
scripts/gpu-automation-quickstart.ps1,scripts/gpu-integration-automation.ps1,script-exec,23
scripts/gpu-automation-quickstart.ps1,scripts/gpu-workflow-orchestrator.ps1,script-exec,32
scripts/gpu-automation-quickstart.ps1,scripts/gpu-workflow-orchestrator.ps1,script-exec,36
scripts/gpu-automation-quickstart.ps1,scripts/gpu-workflow-orchestrator.ps1,script-exec,40
scripts/gpu-automation-quickstart.ps1,scripts/gpu-integration-automation.ps1,script-exec,53
scripts/gpu-automation-quickstart.ps1,scripts/gpu-integration-automation.ps1,script-exec,57
scripts/gpu-automation-quickstart.ps1,scripts/gpu-automated-monitoring.ps1,script-exec,61
scripts/gpu-automation-quickstart.ps1,scripts/gpu-integration-automation.ps1,script-exec,65
scripts/gpu-automation-quickstart.ps1,scripts/gpu-integration-automation.ps1,script-exec,69
scripts/gpu-automation-quickstart.ps1,scripts/gpu-integration-automation.ps1,script-exec,73
scripts/gpu-integration-automation.ps1,scripts/enhanced-monitoring-with-gpu.ps1,script-exec,359
scripts/gpu-integration-automation.ps1,scripts/import-dashboard.ps1,script-exec,452
scripts/health-check-observability-corrected.ps1,scripts/health-check-observability-corrected.ps1,script-exec,2
scripts/health-check-observability-fixed.ps1,scripts/health-check-observability-fixed.ps1,script-exec,2
scripts/health-check-observability.ps1,scripts/health-check-observability.ps1,script-exec,2
scripts/import-dashboard.ps1,scripts/setup-signoz-authentication.ps1,script-exec,114
scripts/import-hurst-drift-alert.ps1,scripts/canary-pattern-drills.ps1,script-exec,218
scripts/import-hurst-drift-alert.ps1,scripts/verify-hurst-drift-alert.ps1,script-exec,219
scripts/import-signoz-dashboard.ps1,scripts/visualize-ecrr-trends.ps1,script-exec,19
scripts/import-signoz-dashboards.ps1,scripts/import-signoz-dashboards.ps1,script-exec,2
scripts/import-windows-canary-alert.ps1,scripts/generate-windows-canary.ps1,script-exec,101
scripts/import-windows-canary-alert.ps1,scripts/generate-windows-canary.ps1,script-exec,121
scripts/import-windows-canary-alert.ps1,scripts/verify-windows-canary-alert.ps1,script-exec,163
scripts/install-ollama-manual.ps1,scripts\install-ollama-manual.ps1,script-exec,54
scripts/install-ollama-winget.ps1,scripts\install-ollama-manual.ps1,script-exec,14
scripts/install-ollama-winget.ps1,scripts\install-ollama-manual.ps1,script-exec,26
scripts/integrate-boot-health.ps1,scripts/boot-health-check.ps1,script-exec,129
scripts/integrate-latency-testing.ps1,scripts/integrate-latency-testing.ps1,script-exec,346
scripts/integrate-latency-testing.ps1,scripts/integrate-latency-testing.ps1,script-exec,347
scripts/integrate-latency-testing.ps1,scripts/integrate-latency-testing.ps1,script-exec,348
scripts/integrate-latency-testing.ps1,scripts/integrate-latency-testing.ps1,script-exec,349
scripts/integrate-latency-testing.ps1,scripts/integrate-latency-testing.ps1,script-exec,350
scripts/integrated-ssot-scaling.ps1,scripts/predictive-ssot-automation.ps1,script-exec,21
scripts/integrated-ssot-scaling.ps1,scripts/ssot-load-balancing.ps1,script-exec,28
scripts/integrated-ssot-scaling.ps1,scripts/ssot-auto-scaling.ps1,script-exec,35
scripts/integrated-ssot-scaling.ps1,scripts/intelligent-ssot-alerting.ps1,script-exec,42
scripts/integration-test-enterprise-views.ps1,scripts\integration-test-enterprise-views.ps1,script-exec,11
scripts/integration-test-enterprise-views.ps1,scripts\cursor-startup-signoz-enterprise-views.ps1,script-exec,45
scripts/integration-test-enterprise-views.ps1,scripts\verify-enterprise-views.ps1,script-exec,52
scripts/integration-test-enterprise-views.ps1,scripts\cursor-startup-signoz-enterprise-views.ps1,script-exec,59
scripts/integration-test-enterprise-views.ps1,scripts\verify-enterprise-views.ps1,script-exec,66
scripts/integration-test-enterprise-views.ps1,scripts\quick-monitor.ps1,script-exec,85
scripts/iona-trace-canary.ps1,scripts/iona-trace-canary.ps1,script-exec,6
scripts/manage-daily-pattern-drills-enhanced.ps1,scripts/canary-pattern-drills.ps1,script-exec,60
scripts/manage-daily-pattern-drills-enhanced.ps1,scripts/canary-pattern-drills.ps1,script-exec,64
scripts/manage-daily-pattern-drills-enhanced.ps1,scripts/enhanced-statistical-validation.ps1,script-exec,67
scripts/manage-daily-pattern-drills-enhanced.ps1,scripts/enhanced-statistical-validation.ps1,script-exec,71
scripts/manage-daily-pattern-drills.ps1,scripts\canary-pattern-drills.ps1,script-exec,48
scripts/manage-latency-baselines.ps1,scripts/extract-latency-measurements.ps1,script-exec,95
scripts/manual-dashboard-import.ps1,scripts/verify-dashboard-import.ps1,script-exec,280
scripts/memx/hardware-report.ps1,scripts/memx/hardware-report.ps1,script-exec,17
scripts/memx/run-hardware-audit.ps1,scripts/memx/hardware-report.ps1,script-exec,16
scripts/memx/schedule-hardware-audit.ps1,`$PSScriptRoot\run-hardware-audit.ps1,script-exec,15
scripts/monitor-fractal-drift.ps1,scripts/canary-pattern-drills.ps1,script-exec,50
scripts/monitor-fractal-drift.ps1,scripts/verify-hurst-drift-alert.ps1,script-exec,51
scripts/monitor-queue-steward-automation.ps1,scripts/verify-queue-steward-task.ps1,script-exec,58
scripts/monitor-sleek.ps1,scripts/monitor-sleek.ps1,script-exec,3
scripts/nightly-tetragrammaton-ci.ps1,scripts/tetragrammaton-benchmark-automation.ps1,script-exec,98
scripts/nightly-tetragrammaton-ci.ps1,scripts/tetragrammaton-benchmark-automation.ps1,script-exec,108
scripts/nightly-tetragrammaton-ci.ps1,scripts/tetragrammaton-benchmark-automation.ps1,script-exec,138
scripts/nightly-tetragrammaton-ci.ps1,scripts/tetragrammaton-quadrant-matrix.ps1,script-exec,169
scripts/nightly-tetragrammaton-ci.ps1,scripts/nightly-dashboard-export.ps1,script-exec,201
scripts/nightly-tetragrammaton-ci.ps1,scripts/tetragrammaton-benchmark-automation.ps1,script-exec,400
scripts/optimize-end-to-end-pipeline.ps1,scripts/optimize-end-to-end-pipeline.ps1,script-exec,3
scripts/optimize-end-to-end-pipeline.ps1,scripts/monitor-analytics-ingestion.ps1,script-exec,392
scripts/preflight.ps1,scripts\preflight.ps1,script-exec,33
scripts/preflight.ps1,scripts\verify-pipeline.ps1,script-exec,172
scripts/preflight.ps1,scripts\verify-and-flip.ps1,script-exec,173
scripts/process-ecrr-and-boss.ps1,scripts/process-all-ecrr-reports.ps1,script-exec,19
scripts/process-ecrr-and-boss.ps1,scripts/process-all-boss-reports.ps1,script-exec,22
scripts/process-ecrr-and-boss.ps1,scripts/memx/run-hardware-audit.ps1,script-exec,28
scripts/production-monitoring.ps1,scripts/validate-production-gpu.ps1,script-exec,33
scripts/prune-evidence.ps1,scripts\prune-evidence.ps1,script-exec,19
scripts/prune-evidence.ps1,scripts\prune-evidence.ps1,script-exec,22
scripts/publish-e2-results.ps1,scripts/import-dashboard.ps1,script-exec,179
scripts/publish-ecrr-dashboard.ps1,scripts/visualize-ecrr-trends.ps1,script-exec,287
scripts/publish-ecrr-dashboard.ps1,scripts/publish-ecrr-dashboard.ps1,script-exec,290
scripts/quick-monitor.ps1,scripts\monitor-optimized-pipeline.ps1,script-exec,175
scripts/robust-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,74
scripts/robust-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,85
scripts/robust-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,109
scripts/robust-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,129
scripts/run-latency-test-example.ps1,scripts/check-latency-readiness.ps1,script-exec,41
scripts/run-latency-test-example.ps1,scripts/run-otel-doe-enhanced.ps1,script-exec,106
scripts/run-latency-test-example.ps1,scripts/extract-latency-measurements.ps1,script-exec,130
scripts/run-latency-test-example.ps1,scripts/monitor-latency-regressions.ps1,script-exec,145
scripts/run-latency-test-example.ps1,scripts/run-otel-doe-enhanced.ps1,script-exec,200
scripts/run-latency-test-example.ps1,scripts/run-otel-doe-enhanced.ps1,script-exec,203
scripts/run-latency-test-example.ps1,scripts/monitor-latency-regressions.ps1,script-exec,206
scripts/run-latency-test-example.ps1,scripts/manage-latency-baselines.ps1,script-exec,209
scripts/run-otel-doe-enhanced.ps1,scripts/generate-synthetic-load.ps1,script-exec,64
scripts/run-otel-doe-enhanced.ps1,scripts/check-latency-readiness.ps1,script-exec,101
scripts/run-otel-doe-enhanced.ps1,scripts/extract-latency-measurements.ps1,script-exec,291
scripts/run-otel-doe.ps1,scripts/generate-synthetic-load.ps1,script-exec,45
scripts/scale-ssot-automation.ps1,scripts/enhanced-ssot-health.ps1,script-exec,436
scripts/scale-ssot-automation.ps1,scripts/advanced-ssot-automation.ps1,script-exec,437
scripts/schedule-canary-ecrr.ps1,scripts/schedule-canary-ecrr.ps1,script-exec,5
scripts/schedule-cleanup-artifacts.ps1,scripts/schedule-cleanup-artifacts.ps1,script-exec,26
scripts/schedule-cleanup-artifacts.ps1,scripts/schedule-cleanup-artifacts.ps1,script-exec,29
scripts/schedule-ecrr-orchestrator.ps1,scripts/ecrr-process-and-publish.ps1,script-exec,58
scripts/send-otlp-log.ps1,scripts/send-otlp-log.ps1,script-exec,5
scripts/set-gate-status.ps1,scripts\verify-pipeline.ps1,script-exec,41
scripts/setup-bedrock-prerequisites.ps1,scripts\test-bedrock-connection.ps1,script-exec,177
scripts/setup-bedrock-prerequisites.ps1,scripts\setup-bedrock-prerequisites.ps1,script-exec,183
scripts/setup-complete-authentication.ps1,scripts/setup-complete-authentication.ps1,script-exec,228
scripts/setup-complete-authentication.ps1,scripts/test-signoz-auth.ps1,script-exec,231
scripts/setup-complete-authentication.ps1,scripts/test-webhook.ps1,script-exec,234
scripts/setup-complete-pipeline.ps1,scripts/setup-signoz-authentication.ps1,script-exec,87
scripts/setup-complete-pipeline.ps1,scripts/import-dashboard.ps1,script-exec,113
scripts/setup-complete-pipeline.ps1,scripts/setup-webhooks.ps1,script-exec,139
scripts/setup-complete-pipeline.ps1,scripts/test-e2e-pipeline.ps1,script-exec,165
scripts/setup-complete-pipeline.ps1,scripts/setup-signoz-authentication.ps1,script-exec,255
scripts/setup-complete-pipeline.ps1,scripts/import-dashboard.ps1,script-exec,258
scripts/setup-complete-pipeline.ps1,scripts/setup-webhooks.ps1,script-exec,261
scripts/setup-complete-pipeline.ps1,scripts/test-e2e-pipeline.ps1,script-exec,264
scripts/setup-compliance-scheduler.ps1,scripts/setup-compliance-scheduler.ps1,script-exec,288
scripts/setup-daily-pattern-drills.ps1,scripts\manage-daily-pattern-drills.ps1,script-exec,191
scripts/setup-daily-pattern-drills.ps1,scripts\manage-daily-pattern-drills.ps1,script-exec,192
scripts/setup-daily-pattern-drills.ps1,scripts\manage-daily-pattern-drills.ps1,script-exec,193
scripts/setup-daily-pattern-drills.ps1,scripts\verify-daily-pattern-drills.ps1,script-exec,194
scripts/setup-ecrr-alerts.ps1,scripts/monitor-ecrr-alerts.ps1,script-exec,144
scripts/setup-ecrr-alerts.ps1,scripts/monitor-ecrr-alerts.ps1,script-exec,150
scripts/setup-ecrr-alerts.ps1,scripts/monitor-ecrr-alerts.ps1,script-exec,153
scripts/setup-ecrr-automated-monitoring.ps1,scripts/ecrr-ci-integration.ps1,script-exec,154
scripts/setup-ecrr-automated-monitoring.ps1,scripts/ecrr-compliance-monitor.ps1,script-exec,294
scripts/setup-ecrr-automated-monitoring.ps1,scripts/ecrr-ci-integration.ps1,script-exec,295
scripts/setup-ecrr-automated-monitoring.ps1,scripts/ecrr-pre-commit-hook.ps1,script-exec,296
scripts/setup-ecrr-cicd-integration.ps1,scripts/lint-ecrr-compliance.ps1,script-exec,64
scripts/setup-ecrr-cicd-integration.ps1,scripts/monitor-ecrr-compliance-trends.ps1,script-exec,69
scripts/setup-ecrr-cicd-integration.ps1,scripts/generate-compliance-dashboard.ps1,script-exec,74
scripts/setup-ecrr-cicd-integration.ps1,scripts/monitor-ecrr-compliance-trends.ps1,script-exec,166
scripts/setup-ecrr-cicd-integration.ps1,scripts/generate-compliance-dashboard.ps1,script-exec,170
scripts/setup-ecrr-cicd-integration.ps1,scripts/post-workshop-validation.ps1,script-exec,302
